Year,TotalInstallations
2001-2010,283311
2011,360745
2012,343320
2013,200407
2014,180139
2015,141500
2016,132697
2017,174942
2018,224852
2019,284031
2020,370320
2021,377458
2022,315717
2023,333862
2024,318480
